10000	0.164922	0.164875	0.165207
20000	0.658358	0.658159	0.659906
30000	1.48006	1.47954	1.4824
40000	2.6295	2.62929	2.63
50000	4.10915	4.10696	4.11441
60000	5.91603	5.9129	5.93674
70000	8.04917	8.04451	8.05327
80000	10.5115	10.5093	10.5184
90000	13.2999	13.298	13.3017
100000	16.4215	16.4168	16.4307
110000	19.8668	19.8625	19.8722
120000	23.6394	23.6344	23.6445
130000	26.4743	22.7526	27.7419
140000	29.2537	26.9642	32.1716
150000	36.2585	31.0504	36.9297
160000	38.1412	35.2554	42.0067
170000	47.4284	47.4176	47.4386
180000	48.6064	44.6213	53.1798
190000	59.244	59.2318	59.2545
200000	65.6366	65.6291	65.6426
210000	65.8262	60.5985	72.3448
220000	74.0885	66.6717	79.6947
230000	86.7808	86.5838	86.8093
240000	84.5921	79.422	94.4727
250000	98.151	85.4909	102.546
