10000	0.082025	0.0811053	0.0845189
20000	0.326665	0.324148	0.33074
30000	0.731494	0.727721	0.736733
40000	1.41085	1.40225	1.4314
50000	2.21666	2.19962	2.24585
60000	3.27338	3.26346	3.30063
70000	4.63574	4.62566	4.65906
80000	6.12247	6.10383	6.14262
90000	8.14066	8.12851	8.17092
100000	9.93916	9.92403	9.97409
110000	11.8897	11.874	11.9546
120000	14.595	14.5714	14.6626
130000	17.2414	17.1612	17.8433
140000	20.0166	19.9994	20.0847
150000	23.2609	23.137	24.092
160000	26.3358	26.3134	26.3769
170000	29.6807	29.6646	29.7341
180000	33.4599	33.4435	33.5504
190000	37.3143	37.3007	37.3795
200000	41.5885	41.5673	41.6548
210000	45.948	45.9031	46.2557
220000	50.4384	50.4041	50.5181
230000	55.3153	55.1663	56.5798
240000	60.0221	59.9971	60.0678
