10000	0.0322834	0.0322482	0.0323277
20000	0.130327	0.129898	0.130513
10000	0.0328742	0.0327551	0.0335012
20000	0.130729	0.130158	0.131115
30000	0.294326	0.293428	0.295039
40000	0.522396	0.520755	0.523748
50000	0.818453	0.813635	0.822683
60000	1.18021	1.17521	1.18698
70000	1.59821	1.59169	1.60343
80000	2.08656	2.08133	2.09181
90000	2.64699	2.6372	2.65659
100000	3.26888	3.26247	3.27346
110000	3.96646	3.9351	4.07596
120000	4.70326	4.68324	4.71548
130000	5.51332	5.49549	5.52792
140000	6.40978	6.38446	6.44614
150000	7.33766	7.32321	7.36013
160000	8.36627	8.33703	8.4307
170000	9.43098	9.39999	9.45863
180000	10.5704	10.5499	10.6014
190000	11.7919	11.7543	11.8281
200000	13.0601	13.0099	13.0959
210000	14.3982	14.3519	14.4312
220000	15.7937	15.7434	15.83
230000	17.2675	17.2275	17.3065
240000	18.8103	18.7496	18.8668
