10000	0.0283202	0.0274071	0.0289065
20000	0.122647	0.121889	0.123339
30000	0.284003	0.282778	0.285007
40000	0.512758	0.508893	0.515621
50000	0.805353	0.799087	0.811346
60000	1.16434	1.1572	1.17091
70000	1.58848	1.58322	1.59516
80000	2.08086	2.07065	2.0874
10000	0.0282596	0.0276132	0.0287038
20000	0.122236	0.12155	0.123199
30000	0.28531	0.284119	0.286604
40000	0.511783	0.509195	0.515809
50000	0.805696	0.801441	0.809542
60000	1.16985	1.16147	1.17497
70000	1.59035	1.58151	1.59931
80000	2.08043	2.07196	2.08936
90000	2.63475	2.62275	2.64239
100000	3.26162	3.24936	3.27345
110000	3.95203	3.9373	3.96769
120000	4.69605	4.67981	4.71153
130000	5.51753	5.50428	5.5274
140000	6.39802	6.37589	6.41459
150000	7.35576	7.32663	7.38741
160000	8.36373	8.33533	8.38487
170000	9.43967	9.42604	9.45171
180000	10.5961	10.5779	10.6096
190000	11.8015	11.767	11.8379
200000	13.0778	13.0513	13.1297
210000	14.4293	14.3801	14.4971
220000	15.8296	15.7967	15.9251
230000	17.3112	17.2517	17.3795
240000	18.8425	18.7677	18.8811
