10000	0.0864874	0.0861543	0.0877001
20000	0.344269	0.341774	0.348917
30000	0.773498	0.771723	0.780636
40000	1.39678	1.39479	1.40254
50000	2.30867	2.30603	2.31102
60000	3.47284	3.47064	3.47535
70000	4.8397	4.83642	4.84558
80000	6.55684	6.55069	6.55984
90000	8.32576	8.31704	8.33214
100000	10.2068	10.1912	10.2575
110000	12.5153	12.5026	12.5794
120000	15.3122	15.3075	15.3176
130000	18.0581	18.0547	18.0634
140000	21.1337	21.1165	21.2313
150000	24.4387	24.4328	24.4461
160000	27.6984	27.6962	27.7007
170000	31.2836	31.2762	31.2898
180000	35.298	35.29	35.3069
190000	39.3167	39.3111	39.3203
200000	43.638	43.6324	43.6469
210000	48.1641	48.1584	48.1694
220000	52.9046	52.8984	52.9097
230000	57.9952	57.9851	58.0052
240000	63.1259	63.113	63.2075
