10000	0.0286887	0.0285199	0.0291048
20000	0.113393	0.113158	0.114006
30000	0.254141	0.253894	0.254537
40000	0.448455	0.448397	0.448601
50000	0.699893	0.699853	0.700069
60000	1.00714	1.00706	1.00744
70000	1.37015	1.37001	1.37092
80000	1.78886	1.78874	1.78936
90000	2.2633	2.26308	2.26372
100000	2.79352	2.79335	2.79416
110000	3.37937	3.37923	3.37987
120000	4.02097	4.02078	4.02137
130000	4.71844	4.71822	4.71895
140000	5.4715	5.47119	5.47241
150000	6.28013	6.27995	6.28064
160000	7.14488	7.1445	7.14563
170000	8.06517	8.06484	8.06619
180000	9.0505	9.04155	9.09229
190000	10.0726	10.0724	10.0736
200000	11.1602	11.1598	11.1612
210000	12.3031	12.3026	12.304
220000	13.5136	13.5023	13.5767
230000	14.756	14.7556	14.7575
240000	16.0798	16.0673	16.1527
